groupe,code_h,ligne,valeurs
Charge,2.7.1.3.,Réparation Partie Commune,"{'Réel Annuelle 2022': '5952 €', 'Réel Annuelle 2023': '17504 €', 'Réel Annuelle 2024': '24998 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '46228 €', 'Budget Annuelle 2026': '5000 €'}"
Charge,2.7.1.3.2.,Réparation - chauffage,"{'Réel Annuelle 2022': '140 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.7.1.3.3.,Réparation - ascenseurs,"{'Réel Annuelle 2022': '707 €', 'Réel Annuelle 2023': '2863 €', 'Réel Annuelle 2024': '1715 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '2732 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.7.1.3.4.,Réparation - parking,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '86 €', 'Réel Annuelle 2024': '425 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '5826 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.7.1.3.6.,Réparation - sécurité,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '2058 €', 'Réel Annuelle 2024': '6464 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.7.1.3.8.,Réparation - Réparation diverse,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '8250 €', 'Réel Annuelle 2024': '5365 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '691 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.7.1.3.12.,Réparation - Toiture,"{'Réel Annuelle 2022': '600 €', 'Réel Annuelle 2023': '934 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '750 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.7.1.3.14.,Réparation - réparation PC syndic,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '21537 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.7.1.4.,Prise en charge par fonds de prévoyance Copropriétaires,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '-752 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.8.,LINGE ET BLANCHISSAGE,"{'Réel Annuelle 2022': '3734 €', 'Réel Annuelle 2023': '4359 €', 'Réel Annuelle 2024': '3350 €', 'Budget Annuelle 2025': '3602 €', 'Prévision Annuelle 2025': '2718 €', 'Budget Annuelle 2026': '2435 €'}"
Charge,2.8.1.,Location de linge + nettoyage de linge,"{'Réel Annuelle 2022': '3734 €', 'Réel Annuelle 2023': '4359 €', 'Réel Annuelle 2024': '3350 €', 'Budget Annuelle 2025': '3602 €', 'Prévision Annuelle 2025': '2718 €', 'Budget Annuelle 2026': '2435 €'}"
Charge,2.9.,FOURNITURES D'EXPLOITATION,"{'Réel Annuelle 2022': '19855 €', 'Réel Annuelle 2023': '13309 €', 'Réel Annuelle 2024': '3022 €', 'Budget Annuelle 2025': '2948 €', 'Prévision Annuelle 2025': '7052 €', 'Budget Annuelle 2026': '6291 €'}"
Charge,2.9.1.,Produits et matériel d'entretien,"{'Réel Annuelle 2022': '8229 €', 'Réel Annuelle 2023': '9642 €', 'Réel Annuelle 2024': '2962 €', 'Budget Annuelle 2025': '2948 €', 'Prévision Annuelle 2025': '3683 €', 'Budget Annuelle 2026': '2874 €'}"
Charge,2.9.3.,Vaisselle logement et cafétaria,"{'Réel Annuelle 2022': '4740 €', 'Réel Annuelle 2023': '3634 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
